"","sex","age","entity","year_month","head_count"
"469","Male","25yearsandover","Kilkenny County","2002M07","1135"
"470","Male","25yearsandover","Laoighis County","2002M07","917"
"471","Male","25yearsandover","Leitrim County","2002M07","672"
"472","Male","25yearsandover","Limerick County","2002M07","3804"
"473","Male","25yearsandover","Longford County","2002M07","873"
"474","Male","25yearsandover","Louth County","2002M07","3605"
"475","Male","25yearsandover","Mayo County","2002M07","3193"
"476","Male","25yearsandover","Meath County","2002M07","1382"
"477","Male","25yearsandover","Monaghan County","2002M07","1237"
"478","Male","25yearsandover","North Tipperary","2002M07","1046"
"479","Male","25yearsandover","Offaly County","2002M07","1127"
"480","Male","25yearsandover","Roscommon County","2002M07","773"
"481","Male","25yearsandover","Sligo County","2002M07","1143"
"482","Male","25yearsandover","South Tipperary","2002M07","1741"
"483","Male","25yearsandover","Waterford County","2002M07","2731"
"484","Male","25yearsandover","Westmeath County","2002M07","1394"
"485","Male","25yearsandover","Wexford County","2002M07","3052"
"486","Male","25yearsandover","Wicklow County","2002M07","1953"
"487","Female","Under25years","Carlow County","2002M07","205"
"488","Female","Under25years","Cavan County","2002M07","169"
"489","Female","Under25years","Clare County","2002M07","283"
"490","Female","Under25years","Cork County","2002M07","1585"
"491","Female","Under25years","Donegal County","2002M07","1133"
"492","Female","Under25years","Dublin County","2002M07","3166"
"493","Female","Under25years","Galway County","2002M07","1065"
"494","Female","Under25years","Kerry County","2002M07","427"
"495","Female","Under25years","Kildare County","2002M07","391"
"496","Female","Under25years","Kilkenny County","2002M07","205"
"497","Female","Under25years","Laoighis County","2002M07","219"
"498","Female","Under25years","Leitrim County","2002M07","79"
"499","Female","Under25years","Limerick County","2002M07","742"
"500","Female","Under25years","Longford County","2002M07","169"
"501","Female","Under25years","Louth County","2002M07","684"
"502","Female","Under25years","Mayo County","2002M07","514"
"503","Female","Under25years","Meath County","2002M07","265"
"504","Female","Under25years","Monaghan County","2002M07","268"
"505","Female","Under25years","North Tipperary","2002M07","215"
"506","Female","Under25years","Offaly County","2002M07","277"
"507","Female","Under25years","Roscommon County","2002M07","132"
"508","Female","Under25years","Sligo County","2002M07","233"
"509","Female","Under25years","South Tipperary","2002M07","366"
"510","Female","Under25years","Waterford County","2002M07","537"
"511","Female","Under25years","Westmeath County","2002M07","369"
"512","Female","Under25years","Wexford County","2002M07","689"
"513","Female","Under25years","Wicklow County","2002M07","311"
"514","Female","25yearsandover","Carlow County","2002M07","841"
"515","Female","25yearsandover","Cavan County","2002M07","736"
"516","Female","25yearsandover","Clare County","2002M07","1402"
"517","Female","25yearsandover","Cork County","2002M07","6239"
"518","Female","25yearsandover","Donegal County","2002M07","3131"
"519","Female","25yearsandover","Dublin County","2002M07","14395"
"520","Female","25yearsandover","Galway County","2002M07","3402"
"521","Female","25yearsandover","Kerry County","2002M07","1859"
"522","Female","25yearsandover","Kildare County","2002M07","1776"
"523","Female","25yearsandover","Kilkenny County","2002M07","770"
"524","Female","25yearsandover","Laoighis County","2002M07","811"
"525","Female","25yearsandover","Leitrim County","2002M07","521"
